df_ID,"""ID""",MAP_LABEL,GFE_ID,SYSTEM_SITE,GFE_TYPE,POPMAP,SPECIES_QUALIFIED,YLAT,XLONG,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_NAME,CU_ACRO,CU_LATITUDE,CU_LONGITUDE,NUMBER_OF_SITES,CU_TYPE,CU_INDEX,FULL_CU_IN,SBJ_ID,POP_ID,IS_INDICATOR,OL_GRP_NM,OL_GRP_N,AREA,ISENH,COMMENTS,GFE_ID_IN_NUSEDS,POP_ID_IN_NUSEDS,CMNT,EFFECTIVE_DT,WATERSHED_CDE,NEWWATERSHEDCDE
Nadina,6565,1,303,NADINA RIVER,Stream,NA,SEL,53.97855095,-126.5030467,MFR,GStr,MFR+GStr,Francois-First Run_Early Summer<<VREQ[Extirpated]>>,Francois-R1-ES,53.97423195,-126.6841151,2,VREQ[Extirpated],L-06-04,SEL-06-004,1,45524,N,Early Summer-Mid and Upper Fraser,5,MFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,180-374000-95200-99500-0000-0000-000-000-000-000-000-000,1.80E+44
Nahatlatch R,6554,2,125,NAHATLATCH RIVER,Stream,NA,SEL,49.9779149,-121.5120321,FRCany,GStr,FRCany+GStr,Nahatlatch_Early Summer,Nahatlatch-ES,49.9911652,-121.6167063,2,Current,L-05-02,SEL-05-002,1,47157,Y,Early Summer-Lower Fraser,5,FRCanyon,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,1.00E+44
Neechanz,6966,5,941,NEECHANZ RIVER,Stream,NA,SEL,51.64727683,-126.6905604,RSI,HStr,RSI+HStr,Owikeno,Owikeno,51.73456475,-126.7934667,9,Current,L-15-02,SEL-15-002,1,51630,Y,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-60200-01500-0000-0000-000-000-000-000-000-000,9.10E+44
Nimpkish L,6908,1,1112,NIMPKISH RIVER,Stream,NA,SEL,50.56689782,-126.9794859,EVI,SFj,EVI+SFj,Nimpkish,Nimpkish,50.56689782,-126.9794859,2,Current,L-12-03,SEL-12-003,1,52625,Y,Areas 11 to 13,19,NEVI,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,920-825900-00000-00000-0000-0000-000-000-000-000-000-000,9.21E+44
Okanagan,6480,1,442,OKANAGAN RIVER,Stream,NA,SEL,49.07636988,-119.5181801,OK,ORWA,OK+ORWA,Osoyoos,Osoyoos,49.07636988,-119.5181801,1,Current,L-01-01,SEL-01-001,1,1864,N,Okanagan,1,Columbia,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,310-000000-00000-00000-0000-0000-000-000-000-000-000-000,3.10E+44
Phillips,6897,1,824,PHILLIPS RIVER,Stream,NA,SEL,50.55498132,-125.3650199,SC,SFj,SC+SFj,Phillips,Phillips,50.55498132,-125.3650199,2,Current,L-11-06,SEL-11-006,1,50610,Y,Areas 11 to 13,19,SCMainland,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,900-447800-00000-00000-0000-0000-000-000-000-000-000-000,9.00E+44
Pinchi Cr,6686,6,308,PINCHI CREEK,Stream,NA,SEL,54.56409055,-124.4892837,MFR,GStr,MFR+GStr,Takla/Trembleur/Stuart_Summer,Takla/Trembleur/Stuart-S,54.75653928,-124.9440666,12,Current,L-06-13,SEL-06-013,1,45539,Y,Summer-Late Stuart,8,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-697600-00000-00000-0000-0000-000-000-000-000-000-000,1.83E+44
Pitt,6506,4,2443,PITT LAKE,Lake,NA,SEL,49.395436,-122.5599964,LFR,GStr,LFR+GStr,Pitt_Early Summer,Pitt-ES,49.55770694,-122.6238591,8,Current,L-03-05,SEL-03-005,1,45095,N,Early Summer-Lower Fraser,6,LFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,1.00E+44
Portage Cr,6680,1,129,PORTAGE CREEK,Stream Segment,NA,SEL,50.70803014,-122.2700586,MFR,GStr,MFR+GStr,Seton_Late<<Bin>>,Seton-L,50.70803014,-122.2700586,1,Bin,L-06-11,SEL-06-011,1,47181,N,Fall-Portage,12,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,1.00E+44
Porter Cr,6726,34,347,PORTER CREEK,Stream,NA,SEL,55.77933335,-126.3802611,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45602,N,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-99200-2100-0000-000-000-000-000-000-000,1.83E+44
Quesnel Decept,6650,69,2447,QUESNEL LAKE,Lake,NA,SEL,52.60110592,-121.5470768,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,69054,N,Summer-Quesnel,10,MFraser,UNK,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.60E+44
Quesnel Horsef,6651,70,2447,QUESNEL LAKE,Lake,NA,SEL,52.60110592,-121.5470768,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45099,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.60E+44
Quesnel Mitche,6652,71,2756,QUESNEL LAKE EAST ARM-UNNAMED CREEK #1,Stream,NA,SEL,52.61257648,-120.3507932,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,3080,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,NA,NA
Raft,6888,11,269,RAFT RIVER,Stream,NA,SEL,51.63177174,-119.9911334,NTh,GStr,NTh+GStr,Kamloops_Early Summer,Kamloops-ES,51.547477,-119.9810365,11,Current,L-10-01,SEL-10-001,1,46710,Y,Summer-Raft,95,LThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,129-379800-00000-00000-0000-0000-000-000-000-000-000-000,1.29E+44
RedfishLk Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,RL,Col,RL+Col,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roaring,6655,74,2412,ROARING RIVER,Stream,NA,SEL,52.68593808,-120.9037551,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45063,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-741400-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Rocky Reach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rossette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sakinaw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandpoint,6728,36,324,SANDPOINT CREEK,Stream,NA,SEL,55.12935613,-125.6678488,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45576,Y,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-39300-0000-0000-000-000-000-000-000-000,1.83E+44
Schulbuckhand,7100,8,511,SCHULBUCKHAND CREEK,Stream,NA,SEL,54.35541362,-128.5674111,LSK,NSKEst,LSK+NSKEst,Lakelse,Lakelse,54.38204489,-128.5524899,10,Current,L-20-07,SEL-20-007,1,47705,Y,Skeena-Wild,24,Skeena,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,420-783500-00000-00000-0000-0000-000-000-000-000-000-000,4.21E+44
Scotch,6844,51,225,SCOTCH CREEK,Stream,NA,SEL,50.90709332,-119.4921574,STh,GStr,STh+GStr,Shuswap Complex_Late,Shuswap Complex-L,50.91737166,-119.229787,79,Current,L-09-03,SEL-09-003,1,46289,Y,Fall-South Thompson,13,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-478700-00000-00000-0000-0000-000-000-000-000-000-000,1.28E+44
Seymour,6847,54,229,SEYMOUR RIVER,Stream,NA,SEL,51.23862931,-118.9593268,STh,GStr,STh+GStr,Shuswap Complex_Late,Shuswap Complex-L,50.91737166,-119.229787,79,Current,L-09-03,SEL-09-003,1,46329,Y,Fall-South Thompson,13,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-700300-00000-00000-0000-0000-000-000-000-000-000-000,1.29E+44
Sheemahant,6968,7,943,SHEEMAHANT RIVER,Stream,NA,SEL,51.74119902,-126.6291234,RSI,HStr,RSI+HStr,Owikeno,Owikeno,51.73456475,-126.7934667,9,Current,L-15-02,SEL-15-002,1,51640,N,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-79800-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Sinta,6731,39,327,SINTA CREEK,Stream,NA,SEL,55.30228612,-126.0303025,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45580,N,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-42000-0000-0000-000-000-000-000-000-000,1.83E+44
Smokehouse Cr,6961,3,916,SMOKEHOUSE CREEK,Stream,NA,SEL,51.28851091,-127.0476257,RSI,HStr,RSI+HStr,Long,Long,51.26039672,-127.1340642,3,Current,L-15-01,SEL-15-001,1,49699,Y,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-025600-97500-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Sproat,6955,1,3444,SPROAT LAKE,Lake,NA,SEL,49.28801087,-124.9153347,WVI,WVI,WVI+WVI,Sproat,Sproat,49.28801087,-124.9153347,1,Current,L-13-25,SEL-13-025,1,3325,N,Somass,16,SWVI,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-137400-99100-00000-0000-0000-000-000-000-000-000-000,9.30E+44
Stellako,6579,5,297,STELLAKO RIVER,Stream,NA,SEL,54.05564097,-124.8844677,MFR,GStr,MFR+GStr,Francois/Fraser_Summer,Francois/Fraser-S,54.02308289,-125.0102828,7,Current,L-06-07,SEL-06-007,1,46013,Y,Summer-Nechako,9,MFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,180-374000-95200-00000-0000-0000-000-000-000-000-000-000,1.80E+44
Stikine main RT,7662,14,2118,STIKINE RIVER,Stream,NA,SER,56.64973303,-131.8462627,LStk,TBFj,LStk+TBFj,Northern Transboundary Fjords,TBFj,57.28800644,-131.610928,23,Current,R22,SER-022,1,45487,Y,-,NA,TBFjord,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,600-000000-00000-00000-0000-0000-000-000-000-000-000-000,6.00E+44
StikineCraig RT,7651,3,2186,CRAIG RIVER,Stream,NA,SER,56.69772671,-131.3069903,LStk,TBFj,LStk+TBFj,Northern Transboundary Fjords,TBFj,57.28800644,-131.610928,23,Current,R22,SER-022,1,45137,N,-,NA,TBFjord,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,610-137600-00000-00000-0000-0000-000-000-000-000-000-000,6.10E+44
Tachie,6691,11,309,TACHIE RIVER,Stream,NA,SEL,54.65782103,-124.7720688,MFR,GStr,MFR+GStr,Takla/Trembleur/Stuart_Summer,Takla/Trembleur/Stuart-S,54.75653928,-124.9440666,12,Current,L-06-13,SEL-06-013,1,45549,Y,Summer-Late Stuart,8,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-00000-00000-0000-0000-000-000-000-000-000-000,1.83E+44
Tankeeah,7063,1,1001,TANKEEAH RIVER,Stream,NA,SEL,52.29818492,-128.2615901,HecLow,HStr,HecLow+HStr,Tankeeah River,Tankeeah River,52.29818492,-128.2615901,1,Current,L-19-60,SEL-19-060,1,51935,Y,Coastal Areas 3 to 6,22,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-463800-00000-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Thompson N,6536,25,211,THOMPSON RIVER,Stream,NA,SEL,50.23695586,-121.5821611,LTh,GStr,LTh+GStr,Fraser River migratory counts<<Bin>>,FRMig,50.62196651,-121.9440757,29,Bin,L-03-xx,SEL-03-805,1,46157,N,-,NA,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,120-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.20E+44
U Horsefly,6621,40,2445,HORSEFLY RIVER-UPPER,Stream Segment,46893,SEL,52.34135176,-121.4036967,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45097,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-635400-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Upper Barrier,6878,1,258,BARRIERE RIVER,Stream,NA,SEL,51.17371372,-120.1387374,NTh,GStr,NTh+GStr,Kamloops_Early Summer,Kamloops-ES,51.547477,-119.9810365,11,Current,L-10-01,SEL-10-001,1,46600,Y,Summer-Raft,95,LThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,129-190100-00000-00000-0000-0000-000-000-000-000-000-000,1.29E+44
Vernon L,6915,2,17900,VERNON LAKE,Lake,NA,SEL,50.03888051,-126.4305866,EVI,SFj,EVI+SFj,Vernon,Vernon,50.05598417,-126.4421326,2,Current,L-12-09,SEL-12-009,1,69037,N,Areas 11 to 13,19,NEVI,UNK,NA,Y,N,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,920-825900-77900-00000-0000-0000-000-000-000-000-000-000,9.21E+44
Wannock,6973,1,935,WANNOCK RIVER,Stream,NA,SEL,51.67892496,-127.2521096,RSI,HStr,RSI+HStr,Wannock[Owikeno],Wannock[Owikeno],51.67892496,-127.2521096,1,Current,L-15-04,SEL-15-004,1,50455,N,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-00000-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Washwash,6970,9,945,WASHWASH RIVER,Stream,NA,SEL,51.84429653,-126.6641347,RSI,HStr,RSI+HStr,Owikeno,Owikeno,51.73456475,-126.7934667,9,Current,L-15-02,SEL-15-002,1,51650,Y,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-99500-03400-0000-0000-000-000-000-000-000-000,9.10E+44
Wasko Cr,6675,94,2414,WASKO CREEK-LOWER,Stream Segment,NA,SEL,52.56148823,-120.9999735,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45065,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,NA,NA
Weaver,6502,6,183,WEAVER CREEK,Stream,NA,SEL,49.31411526,-121.8770135,LFR,GStr,LFR+GStr,Harrison-upstream migrating_Late,Harrison-(U/S)-L,49.32220914,-121.8791355,6,Current,L-03-04,SEL-03-004,1,46044,Y,Fall-Lower Fraser,15,LFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,110-149200-85400-00000-0000-0000-000-000-000-000-000-000,1.10E+44
WidgeonSlough,7204,2,54281,WIDGEON SLOUGH,Slough Segment,NA,SER,49.35569131,-122.6319894,LFR,GStr,LFR+GStr,Widgeon,Widgeon,49.35569131,-122.6319894,2,Current,R02,SER-002,1,47954,NA,Summer-Harrison,94,LFraser,N,Data from Tracy Cone-19 July 2016,Y,Y,Data from Tracy Cone-19 July 2016,18-Jul-16,NA,NA
Woss Lake,6913,1,3433,WOSS RIVER,Stream,NA,SEL,50.22298712,-126.6387978,EVI,SFj,EVI+SFj,Woss,Woss,50.22298712,-126.6387978,1,Current,L-12-08,SEL-12-008,1,7512,N,Areas 11 to 13,19,NEVI,UNK,NA,Y,N,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,920-825900-55500-00000-0000-0000-000-000-000-000-000-000,9.21E+44
Yakoun,6985,1,1571,YAKOUN RIVER,Stream,NA,SEL,53.64710965,-132.2033528,HG,NQCI,HG+NQCI,Yakoun,Yakoun,53.64710965,-132.2033528,1,Current,L-17-09,SEL-17-009,1,41020,Y,Haida Gwaii,26,HaidaGwaii,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,940-896100-00000-00000-0000-0000-000-000-000-000-000-000,9.41E+44
